Bug_ID,Version,Affected_File(s)
HIVE-19247,2.2.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java
HIVE-19085,2.3.2,storage-api/src/java/org/apache/hadoop/hive/common/type/FastHiveDecimal.java
HIVE-18611,2.3.2,ql/src/java/org/apache/hadoop/hive/ql/optimizer/stats/annotation/StatsRulesProcFactory.java;ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFBloomFilter.java;ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFEvaluator.java;storage-api/src/java/org/apache/hive/common/util/BloomKFilter.java
HIVE-18529,2.3.2,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java;ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizationContext.java
HIVE-18421,2.2.0,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java;itests/hive-jmh/src/main/java/org/apache/hive/benchmark/vectorization/VectorizedArithmeticBench.java;ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorExpressionDescriptor.java;ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizationContext.java;ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/LongColModuloLongColumnChecked.java;ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/OverflowUtils.java;ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/PosModDoubleToDouble.java;ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/PosModLongToLong.java;ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorExpression.java;ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPMinus.java;ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPMod.java;ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPMultiply.java;ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPNegative.java;ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPPlus.java;ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestUnaryMinus.java;ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorArithmeticExpressions.java;ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorMathFunctions.java;vector-code-gen/src/org/apache/hadoop/hive/tools/GenVectorCode.java;vector-code-gen/src/org/apache/hadoop/hive/tools/GenVectorTestCode.java
HIVE-17429,2.1.0,jdbc/src/java/org/apache/hive/jdbc/HiveStatement.java
HIVE-16886,2.3.3,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java;hcatalog/server-extensions/src/main/java/org/apache/hive/hcatalog/listener/DbNotificationListener.java;metastore/src/java/org/apache/hadoop/hive/metastore/MetaStoreDirectSql.java;metastore/src/java/org/apache/hadoop/hive/metastore/ObjectStore.java;metastore/src/java/org/apache/hadoop/hive/metastore/tools/SQLGenerator.java;metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java;metastore/src/test/org/apache/hadoop/hive/metastore/TestObjectStore.java;metastore/src/test/org/apache/hadoop/hive/metastore/txn/TestTxnUtils.java
HIVE-16708,2.3.2,itests/hive-minikdc/src/test/java/org/apache/hive/minikdc/TestJdbcWithMiniKdc.java;standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/DelegationTokenSecretManager.java
HIVE-18742,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/Vectorizer.java
HIVE-18250,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java
HIVE-18090,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/lockmgr/DbTxnManager.java
HIVE-17368,2.1.0,itests/hive-minikdc/src/test/java/org/apache/hive/minikdc/MiniHiveKdc.java;itests/hive-minikdc/src/test/java/org/apache/hive/minikdc/TestJdbcWithDBTokenStore.java;itests/hive-unit-hadoop2/src/test/java/org/apache/hadoop/hive/metastore/security/TestHadoopAuthBridge23.java;itests/util/src/main/java/org/apache/hive/jdbc/miniHS2/MiniHS2.java;ql/src/java/org/apache/hadoop/hive/ql/session/SessionState.java;service/src/java/org/apache/hive/service/cli/session/HiveSessionImplwithUGI.java;standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/DBTokenStore.java;standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/DelegationTokenSecretManager.java;standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/MetastoreDelegationTokenManager.java
HIVE-16654,2.0.0,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java;ql/src/java/org/apache/hadoop/hive/ql/exec/Operator.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/CountDistinctRewriteProc.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/Optimizer.java;ql/src/java/org/apache/hadoop/hive/ql/plan/GroupByDesc.java
HIVE-16507,2.3.0,common/src/java/org/apache/hadoop/hive/common/jsonexplain/DagJsonParser.java
HIVE-16450,2.0.0,metastore/src/java/org/apache/hadoop/hive/metastore/Deadline.java;metastore/src/java/org/apache/hadoop/hive/metastore/MetaStoreUtils.java;metastore/src/java/org/apache/hadoop/hive/metastore/ObjectStore.java;metastore/src/java/org/apache/hadoop/hive/metastore/RetryingHMSHandler.java
HIVE-16385,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/StatsNoJobTask.java
HIVE-15769,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/CalciteViewSemanticException.java;ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java;ql/src/java/org/apache/hadoop/hive/ql/parse/QB.java;ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
HIVE-15766,2.1.1,hcatalog/server-extensions/src/main/java/org/apache/hive/hcatalog/listener/DbNotificationListener.java;metastore/src/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java
HIVE-15752,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/DDLSemanticAnalyzer.java;ql/src/java/org/apache/hadoop/hive/ql/security/authorization/plugin/sqlstd/Operation2Privilege.java
HIVE-15517,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPEqualNS.java;ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPNotEqualNS.java
HIVE-15329,2.1.0,metastore/src/java/org/apache/hadoop/hive/metastore/MetaStoreUtils.java
HIVE-15311,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/ColumnStatsSemanticAnalyzer.java
HIVE-15297,2.1.0,cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java;itests/util/src/main/java/org/apache/hadoop/hive/ql/QTestUtil.java
HIVE-15247,2.1.0,metastore/src/java/org/apache/hadoop/hive/metastore/HiveMetaStoreClient.java
HIVE-15234,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/HiveRelFactories.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/reloperators/HiveJoin.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/reloperators/HiveMultiJoin.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/HiveRelMdDistinctRowCount.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/HiveRelMdSelectivity.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/HiveRelMdSize.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/HiveOpConverter.java;ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java
HIVE-15160,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveProjectSortTransposeRule.java;ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java;ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java;ql/src/java/org/apache/hadoop/hive/ql/parse/TypeCheckProcFactory.java
HIVE-15096,2.1.0,hplsql/src/main/java/org/apache/hive/hplsql/Exec.java
HIVE-15054,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/spark/HivePairFlatMapFunction.java
HIVE-14367,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/stats/annotation/StatsRulesProcFactory.java;ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java;ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFAverage.java;ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFMax.java;ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFMin.java
HIVE-14324,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/sarg/ConvertAstToSearchArg.java;ql/src/test/org/apache/hadoop/hive/ql/io/sarg/TestConvertAstToSearchArg.java
HIVE-14322,2.1.0,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java
HIVE-14296,2.0.0,service/src/java/org/apache/hive/service/cli/session/SessionManager.java;service/src/java/org/apache/hive/service/cli/thrift/ThriftCLIService.java
HIVE-14251,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionRegistry.java;ql/src/test/org/apache/hadoop/hive/ql/exec/TestFunctionRegistry.java;serde/src/java/org/apache/hadoop/hive/serde2/typeinfo/TypeInfoUtils.java
HIVE-14241,2.0.0,hcatalog/streaming/src/test/org/apache/hive/hcatalog/streaming/TestStreaming.java;ql/src/java/org/apache/hadoop/hive/ql/Driver.java;ql/src/java/org/apache/hadoop/hive/ql/exec/FetchOperator.java;ql/src/java/org/apache/hadoop/hive/ql/exec/FetchTask.java;ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands2.java
HIVE-14236,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/FileSinkOperator.java;ql/src/java/org/apache/hadoop/hive/ql/exec/MoveTask.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/GenMapRedUtils.java;ql/src/java/org/apache/hadoop/hive/ql/parse/GenTezUtils.java;ql/src/java/org/apache/hadoop/hive/ql/plan/FileSinkDesc.java;ql/src/java/org/apache/hadoop/hive/ql/stats/StatsCollectionContext.java;ql/src/java/org/apache/hadoop/hive/ql/stats/fs/FSStatsPublisher.java
HIVE-14229,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java;ql/src/java/org/apache/hadoop/hive/ql/processors/ReloadProcessor.java;ql/src/java/org/apache/hadoop/hive/ql/session/SessionState.java;ql/src/test/org/apache/hadoop/hive/ql/session/TestSessionState.java;service/src/java/org/apache/hive/service/cli/session/HiveSessionImpl.java
HIVE-14210,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/mr/ExecDriver.java
HIVE-14132,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/processors/SetProcessor.java
HIVE-14038,2.0.0,common/src/java/org/apache/hadoop/hive/conf/HiveConfUtil.java;hcatalog/webhcat/svr/src/main/java/org/apache/hive/hcatalog/templeton/AppConfig.java;metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java;ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/HouseKeeperServiceBase.java;ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands.java;ql/src/test/org/apache/hadoop/hive/ql/lockmgr/TestDbTxnManager2.java
HIVE-14015,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/SMBMapJoinOperator.java
HIVE-14006,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/UnionOperator.java
HIVE-13932,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/SMBMapJoinOperator.java
HIVE-13858,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/Operator.java;ql/src/java/org/apache/hadoop/hive/ql/exec/tez/MapRecordProcessor.java;ql/src/java/org/apache/hadoop/hive/ql/exec/tez/MergeFileRecordProcessor.java;ql/src/java/org/apache/hadoop/hive/ql/exec/tez/RecordProcessor.java;ql/src/java/org/apache/hadoop/hive/ql/exec/tez/ReduceRecordProcessor.java;ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezProcessor.java
HIVE-13844,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/index/HiveIndex.java;ql/src/test/org/apache/hadoop/hive/ql/index/TestIndexType.java
HIVE-13837,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/ASTBuilder.java
HIVE-13833,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/lockmgr/DbTxnManager.java
HIVE-13813,2.0.0,common/src/java/org/apache/hadoop/hive/common/metrics/common/MetricsConstant.java;ql/src/java/org/apache/hadoop/hive/ql/Driver.java
HIVE-13809,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/MapJoinOperator.java;ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/HybridHashTableContainer.java;ql/src/java/org/apache/hadoop/hive/ql/exec/tez/HashTableLoader.java
HIVE-13756,2.0.0,hcatalog/core/src/main/java/org/apache/hive/hcatalog/mapreduce/FileOutputCommitterContainer.java
