Bug,FileName,AvgCyclomatic,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
0,ACLConfigurationParser.java,3.0,11.0,0.0,11.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,3.0,10.0,,,,10.0,10.0,2.0,,,,10.0,,,0.0,,3.0,0.0,7.0,,167.0,22.0,125.0,38.0,70.0,20.0,,,,57.0,89.0,37.0,,58.0,,,,,,11.0,11.0,13.0,13.0,9.0,,3.0,,,0.16,29.0,29.0,32.0,32.0,22.0
0,AMReporter.java,2.0,12.0,0.0,11.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,9.0,0.0,1.0,37.0,,,,37.0,37.0,31.0,,,,37.0,,,10.0,,2.0,4.0,21.0,,582.0,70.0,458.0,167.0,240.0,54.0,,,,218.0,303.0,149.0,,182.0,,,,,,7.0,7.0,9.0,9.0,3.0,,4.0,,,0.12,72.0,72.0,75.0,75.0,39.0
0,ASTBuilder.java,5.0,16.0,1.0,15.0,1.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,14.0,0.0,18.0,,,,18.0,4.0,1.0,,,,18.0,,,0.0,,0.0,0.0,18.0,,346.0,32.0,287.0,62.0,211.0,27.0,,,,130.0,162.0,58.0,,117.0,,,,,,64.0,9.0,64.0,9.0,5.0,,2.0,,,0.09,90.0,32.0,90.0,32.0,22.0
0,ASTConverter.java,4.0,18.0,1.0,15.0,2.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,7.0,2.0,2.0,38.0,,,,38.0,36.0,24.0,,,,38.0,,,11.0,,9.0,2.0,16.0,,869.0,99.0,672.0,241.0,412.0,98.0,,,,353.0,523.0,248.0,,345.0,,,,,,21.0,21.0,23.0,23.0,3.0,,5.0,,,0.15,144.0,144.0,157.0,157.0,44.0
0,ASTErrorNode.java,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,5.0,,,,5.0,5.0,1.0,,,,5.0,,,0.0,,0.0,0.0,5.0,,49.0,8.0,21.0,18.0,6.0,20.0,,,,12.0,18.0,13.0,,5.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.95,5.0,5.0,5.0,5.0,5.0
0,ASTNode.java,2.0,10.0,1.0,8.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,26.0,,,,26.0,26.0,7.0,,,,26.0,,,0.0,,8.0,0.0,18.0,,349.0,52.0,240.0,75.0,133.0,57.0,,,,123.0,178.0,67.0,,129.0,,,,,,11.0,11.0,15.0,15.0,4.0,,4.0,,,0.24,58.0,58.0,71.0,71.0,32.0
0,ASTNodeOrigin.java,1.0,7.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,6.0,,,,6.0,6.0,5.0,,,,6.0,,,0.0,,0.0,0.0,6.0,,95.0,9.0,31.0,14.0,10.0,55.0,,,,16.0,23.0,13.0,,10.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,1.77,6.0,6.0,6.0,6.0,6.0
0,ATSHook.java,2.0,19.0,1.0,16.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,10.0,1.0,11.0,25.0,,,,15.0,24.0,29.0,,,,25.0,,,3.0,,4.0,2.0,16.0,,480.0,47.0,388.0,148.0,255.0,54.0,,,,229.0,291.0,139.0,,204.0,,,,,,10.0,8.0,10.0,8.0,6.0,,4.0,,,0.14,56.0,54.0,57.0,55.0,26.0
0,AbortDroneException.java,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,2.0,,,,2.0,2.0,0.0,,,,2.0,,,0.0,,0.0,0.0,2.0,,29.0,1.0,10.0,5.0,3.0,18.0,,,,4.0,7.0,5.0,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,,,1.8,2.0,2.0,2.0,2.0,2.0
0,AbortTxnRequest.java,2.0,7.0,0.0,6.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,6.0,3.0,6.0,38.0,,,,36.0,35.0,5.0,,,,38.0,,,1.0,,2.0,0.0,35.0,,387.0,64.0,297.0,104.0,144.0,29.0,,,,139.0,207.0,91.0,,124.0,,,,,,5.0,5.0,7.0,7.0,5.0,,3.0,,,0.1,61.0,61.0,63.0,63.0,48.0
