Bug ID,Version,File
HIVE-20771,3.1.0,serde/src/test/org/apache/hadoop/hive/serde2/lazybinary/TestLazyBinaryStruct.java
HIVE-18786,2.3.3,ql/src/test/org/apache/hadoop/hive/ql/udf/generic/TestGenericUDAFEvaluator.java
HIVE-18624,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/parse/TestParseDriver.java
HIVE-18624,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/parse/TestParseDriverIntervals.java
HIVE-18611,2.3.2,storage-api/src/java/org/apache/hive/common/util/BloomKFilter.java
HIVE-18421,2.2.0,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/LongColModuloLongColumnChecked.java
HIVE-18421,2.2.0,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/OverflowUtils.java
HIVE-18421,2.2.0,vector-code-gen/src/org/apache/hadoop/hive/tools/GenVectorCode.java
HIVE-18421,2.2.0,vector-code-gen/src/org/apache/hadoop/hive/tools/GenVectorTestCode.java
HIVE-16886,2.3.3,metastore/src/java/org/apache/hadoop/hive/metastore/tools/SQLGenerator.java
HIVE-16708,2.3.2,standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/DelegationTokenSecretManager.java
HIVE-28262,3.1.3,serde/src/test/org/apache/hadoop/hive/serde2/lazy/TestLazyStruct.java
HIVE-27658,3.1.3,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/reloperators/HiveToUnixTimestampSqlOperator.java
HIVE-26522,2.3.8,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/security/TestTokenStoreDelegationTokenSecretManager.java
HIVE-26374,3.1.3,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/txn/compactor/TestCrudCompactorOnTez.java
HIVE-26374,3.1.3,ql/src/java/org/apache/hadoop/hive/ql/exec/DDLPlanUtils.java
HIVE-26374,3.1.3,ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/CompactionQueryBuilder.java
HIVE-21033,2.0.0,common/src/java/org/apache/hadoop/hive/common/io/SessionStream.java
HIVE-20345,2.0.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java
HIVE-17368,2.1.0,itests/hive-unit-hadoop2/src/test/java/org/apache/hadoop/hive/metastore/security/TestHadoopAuthBridge23.java
HIVE-17368,2.1.0,itests/util/src/main/java/org/apache/hive/jdbc/miniHS2/MiniHS2.java
HIVE-17368,2.1.0,standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/DBTokenStore.java
HIVE-17368,2.1.0,standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/DelegationTokenSecretManager.java
HIVE-17368,2.1.0,standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/MetastoreDelegationTokenManager.java
HIVE-16654,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/CountDistinctRewriteProc.java
HIVE-16507,2.3.0,common/src/java/org/apache/hadoop/hive/common/jsonexplain/DagJsonParser.java
HIVE-15769,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/CalciteViewSemanticException.java
HIVE-15517,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPNotEqualNS.java
HIVE-13844,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/index/TestIndexType.java
HIVE-13754,2.0.0,metastore/src/java/org/apache/hadoop/hive/metastore/annotation/NoReconnect.java
HIVE-13699,2.0.0,storage-api/src/test/org/apache/hadoop/hive/ql/util/JavaDataModelTest.java
HIVE-13676,2.0.0,metastore/src/test/org/apache/hadoop/hive/metastore/TestHiveMetaStoreGetMetaConf.java
HIVE-13523,2.0.0,orc/src/java/org/apache/orc/DataReaderFactory.java
HIVE-13523,2.0.0,orc/src/java/org/apache/orc/MetadataReaderFactory.java
HIVE-13523,2.0.0,orc/src/java/org/apache/orc/impl/DataReaderProperties.java
HIVE-13523,2.0.0,orc/src/java/org/apache/orc/impl/DefaultMetadataReaderFactory.java
HIVE-13523,2.0.0,orc/src/java/org/apache/orc/impl/MetadataReaderProperties.java
HIVE-13523,2.0.0,orc/src/test/org/apache/orc/impl/TestDataReaderProperties.java
HIVE-13523,2.0.0,orc/src/test/org/apache/orc/impl/TestMetadataReaderProperties.java
HIVE-13523,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/DefaultDataReaderFactory.java
HIVE-13512,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/plan/TestTezWorkConcurrency.java
HIVE-13440,2.0.0,service/src/gen/thrift/gen-cpp/ThriftHive_server.skeleton.cpp
HIVE-13395,2.0.0,metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnStore.java
HIVE-13395,2.0.0,metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnUtils.java
HIVE-13395,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/txn/AcidWriteSetService.java
HIVE-13330,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/TreeReaderFactory.java
HIVE-13326,2.0.0,itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestServiceDiscoveryWithMiniHS2.java
HIVE-13175,2.0.0,metastore/src/java/org/apache/hadoop/hive/metastore/TransactionalValidationListener.java
HIVE-13169,2.0.0,jdbc/src/java/org/apache/hive/jdbc/HttpTokenAuthInterceptor.java
HIVE-13169,2.0.0,shims/common/src/main/java/org/apache/hadoop/hive/thrift/HiveDelegationTokenManager.java
HIVE-13159,2.0.0,ql/src/test/org/apache/hadoop/hive/metastore/txn/TestTxnHandlerNoConnectionPool.java
HIVE-12767,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/ParquetRecordReaderBase.java
HIVE-12767,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/serde/ParquetTableUtils.java
HIVE-12767,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/VectorizedParquetRecordReader.java
HIVE-12767,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/VectorizedPrimitiveColumnReader.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/TestVectorizedColumnReader.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/VectorizedColumnReaderTestBase.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/convert/TestETypeConverter.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/timestamp/TestNanoTimeUtils.java
HIVE-12767,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/ParquetRecordReaderBase.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/timestamp/TestNanoTimeUtils.java
HIVE-12767,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/ParquetRecordReaderBase.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/timestamp/TestNanoTimeUtils.java
HIVE-12767,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/ParquetRecordReaderBase.java
HIVE-12767,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/serde/ParquetTableUtils.java
HIVE-12767,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/VectorizedParquetRecordReader.java
HIVE-12767,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/VectorizedPrimitiveColumnReader.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/TestVectorizedColumnReader.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/VectorizedColumnReaderTestBase.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/convert/TestETypeConverter.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/timestamp/TestNanoTimeUtils.java
HIVE-12767,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/timestamp/TestParquetTimestampConverter.java
HIVE-12577,2.0.0,llap-server/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapDaemonProtocolClientProxy.java
HIVE-12577,2.0.0,llap-server/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapTaskCommunicator.java
HIVE-12577,2.0.0,llap-server/src/test/org/apache/hadoop/hive/llap/tezplugins/TestLlapDaemonProtocolClientProxy.java
HIVE-12577,2.0.0,llap-server/src/test/org/apache/hadoop/hive/llap/tezplugins/TestLlapTaskCommunicator.java
HIVE-12537,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/RunLengthIntegerWriterV2.java
HIVE-12478,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/HiveVolcanoPlannerContext.java
HIVE-12445,2.0.0,llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/QueryFileCleaner.java
HIVE-12215,2.0.0,metastore/src/gen/thrift/gen-cpp/ThriftHiveMetastore_server.skeleton.cpp
HIVE-11945,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/MetadataReader.java
HIVE-11928,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/InStream.java
HIVE-11928,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/MetadataReader.java
HIVE-11781,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/reloperators/HiveLimit.java
HIVE-11031,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/ColumnStatisticsImpl.java
HIVE-4243,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/ColumnStatisticsImpl.java
HIVE-4243,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcUtils.java
HIVE-4243,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/TypeDescription.java
HIVE-1863,2.0.0,itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestActivePassiveHA.java
HIVE-1863,2.0.0,itests/util/src/main/java/org/apache/hive/jdbc/miniHS2/MiniHS2.java
HIVE-1863,2.0.0,llap-client/src/java/org/apache/hadoop/hive/registry/impl/ZkRegistryBase.java
HIVE-1863,2.0.0,service/src/java/org/apache/hive/service/server/HS2ActivePassiveHARegistry.java
HIVE-1863,2.0.0,service/src/java/org/apache/hive/service/server/HS2ActivePassiveHARegistryClient.java
HIVE-1863,2.0.0,service/src/java/org/apache/hive/service/servlet/HS2LeadershipStatus.java
HIVE-1863,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezSessionPoolSession.java
HIVE-1863,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/tez/WorkloadManager.java
HIVE-1863,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/HookRunner.java
HIVE-1863,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/QueryLifeTimeHookRunner.java
HIVE-1863,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/hooks/HooksLoader.java
HIVE-1863,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/hooks/TestQueryHooks.java
HIVE-1863,2.0.0,itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestTriggersMoveWorkloadManager.java
HIVE-1863,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/wm/WmContext.java
HIVE-1863,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/wm/TestTrigger.java
HIVE-1863,2.0.0,ql/src/test/org/apache/hadoop/hive/ql/TestTxnNoBuckets.java
HIVE-1863,2.0.0,standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStoreFsImpl.java
HIVE-28366,4.0.0,iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/TestConflictingDataFiles.java
